"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A530","2019-07-27 00:00:00","300.000","19.000","1.000","23.700","0.990","973.400","-99.000","0.000","-99.000","-99.000","-99.000","33.400","","23.500",""
"C0M520","2019-07-27 00:00:00","15.000","183.000","0.900","27.500","0.880","1004.200","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","26.100",""
"C0K240","2019-07-27 00:00:00","1132.000","128.000","3.200","21.000","0.990","888.400","-99.000","13.000","-99.000","-99.000","-99.000","27.700","","19.800",""
"C0V210","2019-07-27 00:00:00","734.000","58.000","0.400","19.700","0.950","928.700","-99.000","17.000","-99.000","-99.000","-99.000","29.700","","19.600",""
"C0Z320","2019-07-27 00:00:00","646.000","271.000","0.700","20.800","0.950","937.300","-99.000","8.500","-99.000","-99.000","-99.000","32.800","","20.300",""
"C0R600","2019-07-27 00:00:00","766.000","0.000","0.100","24.500","0.840","923.800","-99.000","1.500","-99.000","-99.000","-99.000","27.800","","23.100",""
"C0C650","2019-07-27 00:00:00","208.000","202.000","0.300","26.100","0.820","982.800","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","25.700",""
"C0F9I0","2019-07-27 00:00:00","194.000","178.000","2.300","27.000","0.790","984.600","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","26.900",""
"C0T820","2019-07-27 00:00:00","550.000","0.000","0.200","21.800","0.980","951.200","-99.000","13.500","-99.000","-99.000","-99.000","32.300","","20.700",""
"C0S890","2019-07-27 00:00:00","238.000","49.000","0.400","25.700","0.870","983.700","-99.000","0.500","-99.000","-99.000","-99.000","34.500","","24.600",""
"C0G840","2019-07-27 00:00:00","32.000","0.000","0.100","27.200","0.850","1000.600","-99.000","0.000","-99.000","-99.000","-99.000","34.600","","27.000",""
"C0V710","2019-07-27 00:00:00","34.000","133.000","1.100","-99.000","-99.000","-99.000","-99.000","0.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0X140","2019-07-27 00:00:00","17.000","121.000","1.000","28.600","0.890","1004.100","-99.000","4.000","-99.000","-99.000","-99.000","33.900","","26.400",""
"C0C680","2019-07-27 00:00:00","228.000","150.000","0.400","27.100","0.790","979.200","-99.000","0.000","-99.000","-99.000","-99.000","33.800","","26.000",""
"C0D360","2019-07-27 00:00:00","523.000","0.000","0.000","22.200","0.990","948.200","-99.000","33.500","-99.000","-99.000","-99.000","32.700","","22.000",""
"C0C710","2019-07-27 00:00:00","143.000","0.000","0.000","24.600","0.920","990.200","-99.000","0.000","-99.000","-99.000","-99.000","34.700","","24.000",""
"C0Z190","2019-07-27 00:00:00","62.000","303.000","1.800","27.800","0.820","1000.200","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","26.500",""
"C0Z020","2019-07-27 00:00:00","211.000","14.000","2.500","26.700","0.990","983.200","-99.000","0.500","-99.000","-99.000","-99.000","33.100","","24.200",""
"C0I380","2019-07-27 00:00:00","258.000","101.000","2.500","24.400","0.990","977.300","-99.000","11.000","-99.000","-99.000","-99.000","34.200","","24.400",""
"C0D560","2019-07-27 00:00:00","147.000","119.000","0.800","27.500","0.760","990.100","-99.000","0.000","-99.000","-99.000","-99.000","35.400","","25.900",""
"C0Z220","2019-07-27 00:00:00","589.000","263.000","1.400","22.800","0.930","944.000","-99.000","0.000","-99.000","-99.000","-99.000","30.500","","22.400",""
